[2026-07-07 12:30:16] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_169 - Track ID: 46 - Width: 2.881mm, Length: 26.8mm - Trigger Reason: Width 2.881mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:17] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_172 - Track ID: 47 - Width: 2.812mm, Length: 25.3mm - Trigger Reason: Width 2.812mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:18] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_177 - Track ID: 48 - Width: 2.763mm, Length: 26.8mm - Trigger Reason: Width 2.763mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:18] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_180 - Track ID: 49 - Width: 2.896mm, Length: 32.7mm - Trigger Reason: Width 2.896mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:21] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_199 - Track ID: 50 - Width: 2.693mm, Length: 26.8mm - Trigger Reason: Width 2.693mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:21] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_202 - Track ID: 51 - Width: 2.920mm, Length: 25.8mm - Trigger Reason: Width 2.920mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:22] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_206 - Track ID: 52 - Width: 2.759mm, Length: 26.8mm - Trigger Reason: Width 2.759mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:22] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_210 - Track ID: 53 - Width: 2.832mm, Length: 26.8mm - Trigger Reason: Width 2.832mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:23] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_214 - Track ID: 54 - Width: 2.795mm, Length: 26.9mm - Trigger Reason: Width 2.795mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:30:24] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_222 - Track ID: 55 - Width: 2.739mm, Length: 26.5mm - Trigger Reason: Width 2.739mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
